,PINCP,AGEP,RAC1P,MAR,SCHL,COW,OCCP,RELP,SEX,RELP_category
180,0,18-40,0,5,5,1.0,4720.0,17,0,Institutional Residents
183,0,60-80,1,5,3,2.0,8990.0,17,1,Institutional Residents
192,0,18-40,1,5,4,1.0,5522.0,17,0,Institutional Residents
200,0,18-40,1,5,3,1.0,7750.0,16,1,Institutional Residents
201,0,18-40,1,5,4,1.0,2850.0,17,0,Institutional Residents
208,0,60-80,1,1,4,4.0,3602.0,16,0,Institutional Residents
214,0,18-40,1,5,4,1.0,4120.0,17,0,Institutional Residents
215,0,18-40,1,5,3,1.0,4110.0,17,1,Institutional Residents
229,0,18-40,1,5,6,1.0,2545.0,17,1,Institutional Residents
230,0,18-40,1,5,4,2.0,4435.0,17,0,Institutional Residents
232,0,18-40,1,5,4,1.0,5260.0,17,0,Institutional Residents
234,0,18-40,1,5,4,6.0,220.0,16,1,Institutional Residents
240,0,18-40,1,5,4,2.0,726.0,17,0,Institutional Residents
242,0,18-40,1,1,3,1.0,310.0,16,1,Institutional Residents
244,0,18-40,1,5,6,1.0,3520.0,17,0,Institutional Residents
245,0,18-40,0,5,4,1.0,9620.0,17,1,Institutional Residents
247,0,40-60,1,5,4,2.0,8990.0,17,1,Institutional Residents
252,0,18-40,0,5,4,1.0,2350.0,17,0,Institutional Residents
253,0,40-60,0,3,4,2.0,4600.0,17,0,Institutional Residents
254,0,18-40,1,5,4,2.0,630.0,17,0,Institutional Residents
255,0,18-40,1,5,4,1.0,9130.0,17,1,Institutional Residents
258,0,40-60,0,3,3,1.0,4020.0,17,1,Institutional Residents
262,0,18-40,0,3,4,1.0,9620.0,17,1,Institutional Residents
267,0,18-40,0,5,4,1.0,6230.0,16,1,Institutional Residents
271,0,18-40,0,5,4,1.0,4720.0,17,0,Institutional Residents
272,0,18-40,1,5,4,1.0,4030.0,17,0,Institutional Residents
273,0,18-40,1,5,6,1.0,2545.0,17,1,Institutional Residents
277,0,40-60,0,5,3,1.0,4720.0,17,0,Institutional Residents
279,0,18-40,1,5,3,1.0,4020.0,16,1,Institutional Residents
283,0,18-40,0,1,5,1.0,310.0,17,1,Institutional Residents
284,0,18-40,1,5,5,1.0,9645.0,17,0,Institutional Residents
285,0,18-40,1,5,3,1.0,7810.0,17,1,Institutional Residents
287,0,18-40,0,5,4,1.0,5240.0,17,1,Institutional Residents
288,0,18-40,1,5,4,2.0,4640.0,17,0,Institutional Residents
291,0,18-40,1,5,5,5.0,4020.0,17,1,Institutional Residents
298,0,18-40,1,5,3,1.0,8800.0,16,1,Institutional Residents
301,0,18-40,0,5,4,2.0,2545.0,17,0,Institutional Residents
305,0,18-40,1,5,4,1.0,2640.0,17,0,Institutional Residents
310,0,18-40,1,5,3,1.0,7315.0,17,1,Institutional Residents
316,0,40-60,1,3,6,1.0,5240.0,16,1,Institutional Residents
324,0,18-40,1,5,4,2.0,4435.0,17,1,Institutional Residents
325,0,18-40,0,5,4,1.0,4030.0,17,0,Institutional Residents
333,0,18-40,0,5,3,1.0,6260.0,16,1,Institutional Residents
335,0,18-40,1,3,4,6.0,9365.0,16,1,Institutional Residents
338,0,18-40,1,5,4,1.0,7840.0,17,0,Institutional Residents
343,0,18-40,0,5,6,1.0,3430.0,17,0,Institutional Residents
348,0,18-40,1,5,4,1.0,5400.0,17,1,Institutional Residents
354,0,18-40,0,5,3,1.0,6230.0,16,1,Institutional Residents
359,0,40-60,1,5,3,2.0,8990.0,17,1,Institutional Residents
363,0,18-40,1,5,5,2.0,230.0,17,0,Institutional Residents
365,0,18-40,0,5,4,1.0,4435.0,17,0,Institutional Residents
367,0,40-60,1,5,4,1.0,4220.0,17,1,Institutional Residents
368,0,18-40,0,5,3,1.0,4020.0,16,1,Institutional Residents
369,0,18-40,1,1,5,1.0,4110.0,16,1,Institutional Residents
372,0,18-40,1,5,4,1.0,9620.0,17,1,Institutional Residents
375,0,18-40,1,5,7,1.0,1555.0,17,1,Institutional Residents
376,0,18-40,0,1,3,1.0,9620.0,17,1,Institutional Residents
378,0,18-40,0,5,4,1.0,4720.0,17,0,Institutional Residents
380,0,18-40,1,5,3,1.0,9645.0,17,0,Institutional Residents
381,0,18-40,1,5,3,1.0,5522.0,17,1,Institutional Residents
382,0,18-40,1,5,4,1.0,4720.0,17,0,Institutional Residents
383,0,60-80,1,5,7,2.0,2040.0,17,1,Institutional Residents
391,0,18-40,1,5,4,1.0,4720.0,17,0,Institutional Residents
392,0,18-40,1,5,4,1.0,4760.0,17,1,Institutional Residents
394,0,60-80,1,1,3,2.0,4220.0,17,1,Institutional Residents
395,0,18-40,0,5,3,1.0,4230.0,17,0,Institutional Residents
399,0,60-80,1,5,7,2.0,2040.0,17,1,Institutional Residents
402,0,18-40,0,5,3,1.0,6260.0,16,1,Institutional Residents
413,0,18-40,0,5,4,1.0,4720.0,17,0,Institutional Residents
417,0,18-40,0,5,3,1.0,4220.0,16,0,Institutional Residents
421,0,18-40,1,5,4,6.0,4220.0,17,0,Institutional Residents
422,0,18-40,1,5,4,1.0,4600.0,17,0,Institutional Residents
427,0,60-80,1,5,7,2.0,2040.0,17,1,Institutional Residents
429,0,18-40,0,5,4,2.0,2360.0,17,1,Institutional Residents
433,0,18-40,1,5,4,1.0,4020.0,16,1,Institutional Residents
436,0,18-40,1,3,3,1.0,4020.0,16,0,Institutional Residents
440,0,18-40,0,5,6,2.0,2002.0,17,1,Institutional Residents
448,0,18-40,1,5,4,2.0,5900.0,17,0,Institutional Residents
450,0,18-40,0,5,3,1.0,4720.0,16,1,Institutional Residents
461,0,18-40,1,5,3,1.0,4760.0,17,1,Institutional Residents
472,0,18-40,0,5,3,2.0,520.0,17,1,Institutional Residents
473,0,18-40,1,5,4,1.0,6050.0,17,1,Institutional Residents
477,0,40-60,1,5,3,1.0,7330.0,17,1,Institutional Residents
490,0,18-40,1,5,4,1.0,710.0,17,1,Institutional Residents
492,0,18-40,0,5,3,1.0,4030.0,17,1,Institutional Residents
493,0,18-40,1,5,6,1.0,3520.0,17,0,Institutional Residents
500,0,18-40,1,5,3,1.0,6600.0,16,1,Institutional Residents
511,0,18-40,1,5,3,3.0,3960.0,17,0,Institutional Residents
512,0,18-40,1,5,4,1.0,5260.0,17,0,Institutional Residents
516,0,18-40,1,1,5,1.0,6230.0,16,1,Institutional Residents
527,0,18-40,0,5,3,1.0,8256.0,16,1,Institutional Residents
532,0,18-40,1,5,4,1.0,4110.0,16,0,Institutional Residents
539,0,18-40,1,5,6,1.0,8990.0,17,1,Institutional Residents
543,0,40-60,1,3,4,1.0,1970.0,16,1,Institutional Residents
545,0,18-40,0,5,3,1.0,4720.0,16,1,Institutional Residents
546,0,18-40,0,5,4,1.0,9645.0,17,1,Institutional Residents
547,0,18-40,1,5,4,1.0,2850.0,17,0,Institutional Residents
548,0,18-40,1,5,4,2.0,5420.0,17,1,Institutional Residents
549,0,18-40,1,5,3,1.0,4110.0,17,1,Institutional Residents
555,0,18-40,1,5,4,2.0,2360.0,17,1,Institutional Residents
561,0,18-40,0,5,4,2.0,4622.0,17,0,Institutional Residents
563,1,40-60,1,1,3,1.0,7330.0,17,1,Institutional Residents
565,0,18-40,0,5,3,1.0,9620.0,16,1,Institutional Residents
567,0,18-40,0,5,4,2.0,2002.0,17,1,Institutional Residents
568,0,18-40,0,5,4,1.0,8140.0,17,0,Institutional Residents
574,0,18-40,1,1,3,5.0,9825.0,17,1,Institutional Residents
580,0,18-40,1,5,4,1.0,2640.0,17,0,Institutional Residents
585,0,18-40,1,5,3,2.0,3960.0,17,1,Institutional Residents
591,0,18-40,0,5,3,1.0,4720.0,17,0,Institutional Residents
599,0,18-40,1,5,4,1.0,4110.0,17,1,Institutional Residents
602,0,18-40,0,5,4,1.0,1970.0,17,0,Institutional Residents
608,0,18-40,0,5,4,1.0,4720.0,17,0,Institutional Residents
614,0,40-60,1,5,3,1.0,4020.0,16,1,Institutional Residents
617,0,60-80,1,5,3,2.0,8990.0,17,1,Institutional Residents
620,0,18-40,0,5,4,1.0,4720.0,17,1,Institutional Residents
621,0,18-40,1,5,3,2.0,4622.0,17,0,Institutional Residents
625,0,18-40,1,5,4,1.0,5400.0,17,0,Institutional Residents
627,0,40-60,0,3,4,2.0,4600.0,17,0,Institutional Residents
628,0,60-80,1,5,3,2.0,8990.0,17,0,Institutional Residents
632,0,18-40,0,5,1,1.0,4055.0,17,0,Institutional Residents
641,0,40-60,1,5,4,1.0,4720.0,16,1,Institutional Residents
643,0,18-40,1,4,3,1.0,8800.0,17,0,Institutional Residents
650,0,18-40,0,5,4,1.0,4640.0,17,1,Institutional Residents
653,0,18-40,1,5,4,5.0,9830.0,17,0,Institutional Residents
654,0,18-40,0,5,4,1.0,9600.0,16,1,Institutional Residents
656,0,60-80,1,5,3,2.0,7750.0,17,1,Institutional Residents
658,0,18-40,1,5,3,1.0,230.0,17,1,Institutional Residents
662,0,18-40,1,5,3,1.0,5110.0,17,0,Institutional Residents
664,0,18-40,1,5,4,2.0,4435.0,17,1,Institutional Residents
668,0,18-40,1,3,4,1.0,6050.0,16,1,Institutional Residents
669,0,40-60,0,3,5,2.0,2752.0,16,1,Institutional Residents
672,0,40-60,1,5,4,1.0,4720.0,16,1,Institutional Residents
675,0,18-40,1,5,4,1.0,5420.0,17,0,Institutional Residents
676,0,18-40,1,5,4,1.0,4020.0,16,1,Institutional Residents
677,0,18-40,0,5,4,1.0,4435.0,17,0,Institutional Residents
678,0,18-40,1,5,3,1.0,5120.0,17,0,Institutional Residents
681,0,18-40,1,5,4,1.0,4640.0,17,1,Institutional Residents
684,0,40-60,0,5,6,1.0,3602.0,17,1,Institutional Residents
685,0,18-40,1,5,3,1.0,4220.0,16,1,Institutional Residents
686,0,18-40,1,5,3,2.0,8990.0,17,1,Institutional Residents
687,0,18-40,1,5,4,2.0,5120.0,17,0,Institutional Residents
688,0,18-40,0,5,4,1.0,4020.0,17,1,Institutional Residents
693,0,18-40,1,5,4,1.0,4110.0,17,0,Institutional Residents
698,0,60-80,1,5,3,2.0,7750.0,17,1,Institutional Residents
705,0,18-40,0,5,4,1.0,4720.0,17,1,Institutional Residents
710,0,18-40,1,5,4,2.0,4622.0,17,1,Institutional Residents
711,0,18-40,0,5,4,1.0,9130.0,16,1,Institutional Residents
715,0,18-40,1,3,4,1.0,4760.0,16,1,Institutional Residents
716,0,18-40,1,5,4,1.0,4720.0,17,0,Institutional Residents
722,0,18-40,1,5,3,1.0,4110.0,17,1,Institutional Residents
727,0,18-40,1,5,4,2.0,4435.0,17,0,Institutional Residents
730,0,18-40,0,5,3,1.0,4760.0,17,0,Institutional Residents
735,0,40-60,0,5,4,1.0,9610.0,16,1,Institutional Residents
738,0,18-40,1,5,6,1.0,3520.0,17,0,Institutional Residents
739,0,18-40,0,1,4,1.0,5860.0,17,0,Institutional Residents
740,0,18-40,1,5,4,1.0,4720.0,17,1,Institutional Residents
744,0,18-40,1,5,4,1.0,4720.0,17,1,Institutional Residents
745,0,18-40,1,5,3,1.0,7810.0,17,1,Institutional Residents
747,0,18-40,0,5,3,1.0,4760.0,17,0,Institutional Residents
748,0,18-40,0,5,4,1.0,8990.0,17,0,Institutional Residents
749,0,18-40,1,5,3,2.0,9620.0,17,0,Institutional Residents
757,0,18-40,1,5,4,1.0,4760.0,17,0,Institutional Residents
765,0,18-40,1,5,3,1.0,4110.0,17,1,Institutional Residents
766,0,18-40,1,5,5,1.0,5610.0,17,0,Institutional Residents
767,0,18-40,1,5,4,2.0,3422.0,17,0,Institutional Residents
768,0,18-40,0,5,4,5.0,9825.0,17,1,Institutional Residents
773,0,18-40,0,5,3,1.0,6260.0,16,1,Institutional Residents
776,0,40-60,1,3,3,1.0,6230.0,16,1,Institutional Residents
781,0,18-40,1,5,4,1.0,3960.0,17,0,Institutional Residents
782,0,18-40,1,1,6,2.0,2205.0,17,0,Institutional Residents
784,0,40-60,1,5,6,2.0,2040.0,17,1,Institutional Residents
786,0,18-40,0,5,3,5.0,8760.0,17,1,Institutional Residents
791,0,18-40,0,5,4,1.0,2350.0,17,0,Institutional Residents
795,0,18-40,1,5,4,2.0,4640.0,17,1,Institutional Residents
797,0,60-80,1,5,7,2.0,2040.0,17,1,Institutional Residents
799,1,18-40,1,5,3,1.0,6515.0,16,1,Institutional Residents
801,0,18-40,1,5,3,1.0,4720.0,16,0,Institutional Residents
808,0,18-40,0,5,4,2.0,4940.0,17,1,Institutional Residents
815,0,18-40,0,5,4,1.0,4055.0,17,1,Institutional Residents
816,0,18-40,1,5,4,2.0,4020.0,17,0,Institutional Residents
822,0,18-40,1,5,4,1.0,2002.0,17,0,Institutional Residents
825,0,18-40,1,5,3,3.0,3960.0,17,0,Institutional Residents
828,0,18-40,0,5,4,1.0,4720.0,17,0,Institutional Residents
829,0,40-60,1,5,2,1.0,4110.0,17,1,Institutional Residents
830,0,18-40,1,5,5,1.0,5240.0,17,1,Institutional Residents
833,0,18-40,0,5,3,4.0,9640.0,16,1,Institutional Residents
835,0,18-40,1,5,4,2.0,420.0,17,0,Institutional Residents
838,0,18-40,0,5,4,2.0,3603.0,17,0,Institutional Residents
845,0,18-40,1,5,3,1.0,4110.0,17,1,Institutional Residents
846,0,18-40,1,5,4,1.0,5740.0,17,1,Institutional Residents
848,0,18-40,1,5,4,1.0,1430.0,17,1,Institutional Residents
853,0,60-80,1,5,3,2.0,4220.0,17,1,Institutional Residents
864,0,18-40,1,5,4,2.0,420.0,17,0,Institutional Residents
865,0,60-80,1,5,6,2.0,2040.0,17,1,Institutional Residents
870,0,18-40,1,5,3,1.0,5522.0,17,1,Institutional Residents
871,0,18-40,1,5,3,6.0,700.0,17,1,Institutional Residents
872,0,18-40,1,5,5,1.0,4020.0,17,1,Institutional Residents
873,0,18-40,0,5,4,1.0,4020.0,17,1,Institutional Residents
879,0,18-40,1,5,4,2.0,440.0,17,1,Institutional Residents
880,0,18-40,0,1,3,1.0,4220.0,17,1,Institutional Residents
882,0,18-40,0,5,4,1.0,4150.0,17,0,Institutional Residents
887,0,18-40,1,5,4,4.0,5240.0,16,1,Institutional Residents
894,0,18-40,1,5,4,1.0,4760.0,17,0,Institutional Residents
901,0,18-40,0,5,4,1.0,9645.0,17,1,Institutional Residents
902,0,18-40,1,5,3,1.0,4720.0,17,0,Institutional Residents
905,0,18-40,1,5,4,1.0,4030.0,17,1,Institutional Residents
912,0,18-40,1,5,4,1.0,4150.0,17,0,Institutional Residents
915,0,18-40,0,5,4,1.0,4950.0,17,0,Institutional Residents
918,0,18-40,0,5,4,1.0,5860.0,17,0,Institutional Residents
924,0,18-40,0,5,4,1.0,1022.0,17,1,Institutional Residents
928,0,40-60,1,5,2,1.0,4110.0,17,1,Institutional Residents
936,0,18-40,1,5,4,1.0,3960.0,17,0,Institutional Residents
939,0,40-60,0,3,3,5.0,5350.0,16,1,Institutional Residents
943,0,18-40,0,5,4,1.0,4600.0,17,0,Institutional Residents
951,0,18-40,1,5,3,2.0,5740.0,17,0,Institutional Residents
957,1,60-80,1,5,7,2.0,10.0,17,1,Institutional Residents
959,0,18-40,0,5,4,2.0,4640.0,17,0,Institutional Residents
960,0,18-40,1,5,4,7.0,230.0,17,0,Institutional Residents
964,0,18-40,1,5,4,8.0,4030.0,17,0,Institutional Residents
969,0,18-40,0,1,3,1.0,4230.0,17,0,Institutional Residents
975,0,18-40,1,5,4,1.0,4720.0,17,1,Institutional Residents
976,0,18-40,1,5,4,1.0,4600.0,17,0,Institutional Residents
985,0,18-40,1,5,7,4.0,2205.0,17,1,Institutional Residents
987,0,18-40,1,5,4,1.0,9645.0,17,0,Institutional Residents
996,0,18-40,0,5,3,1.0,9130.0,17,0,Institutional Residents
997,0,18-40,0,5,4,1.0,4640.0,17,1,Institutional Residents
1001,0,18-40,1,5,3,3.0,3960.0,17,0,Institutional Residents
1002,0,18-40,1,5,4,2.0,4020.0,17,1,Institutional Residents
1003,0,18-40,0,1,3,1.0,9620.0,17,1,Institutional Residents
1004,1,60-80,1,3,6,7.0,205.0,16,1,Institutional Residents
1007,0,18-40,1,5,4,1.0,4950.0,17,1,Institutional Residents
1011,1,18-40,1,1,6,1.0,350.0,17,1,Institutional Residents
1019,0,18-40,1,5,4,2.0,2050.0,17,1,Institutional Residents
1022,0,18-40,1,5,3,1.0,7330.0,17,1,Institutional Residents
1026,0,18-40,0,5,6,2.0,2002.0,17,1,Institutional Residents
1027,0,60-80,1,1,2,1.0,4230.0,17,0,Institutional Residents
1036,0,18-40,1,1,4,1.0,4020.0,17,0,Institutional Residents
1040,0,18-40,0,5,4,1.0,4720.0,17,0,Institutional Residents
1044,0,18-40,1,5,4,6.0,2752.0,17,0,Institutional Residents
1045,0,18-40,0,5,4,1.0,1910.0,17,0,Institutional Residents
1051,0,18-40,1,5,2,1.0,4020.0,16,1,Institutional Residents
1052,0,18-40,1,5,3,1.0,6250.0,16,1,Institutional Residents
1053,0,18-40,1,5,7,1.0,1555.0,17,1,Institutional Residents
1058,0,18-40,0,5,4,1.0,2910.0,17,1,Institutional Residents
1060,0,18-40,1,5,4,1.0,2850.0,17,0,Institutional Residents
1065,0,18-40,1,5,4,1.0,9122.0,17,1,Institutional Residents
1069,0,18-40,0,5,4,5.0,9830.0,17,1,Institutional Residents
1077,0,18-40,1,5,4,2.0,4622.0,17,0,Institutional Residents
1084,0,18-40,0,5,4,1.0,9600.0,16,1,Institutional Residents
1097,0,40-60,1,5,3,2.0,8990.0,17,0,Institutional Residents
1099,0,60-80,1,5,2,2.0,8990.0,17,1,Institutional Residents
1104,0,18-40,0,5,4,1.0,1910.0,17,0,Institutional Residents
1107,0,18-40,1,5,3,2.0,4220.0,17,1,Institutional Residents
1109,0,18-40,1,5,4,2.0,2350.0,17,1,Institutional Residents
1110,0,18-40,1,5,4,1.0,5400.0,17,0,Institutional Residents
1114,0,60-80,1,5,3,2.0,8990.0,17,1,Institutional Residents
1118,0,18-40,1,5,4,1.0,4030.0,17,0,Institutional Residents
1124,0,18-40,1,5,4,2.0,2002.0,17,1,Institutional Residents
1125,0,18-40,1,5,3,2.0,8990.0,17,1,Institutional Residents
1141,0,40-60,0,3,4,2.0,4600.0,17,0,Institutional Residents
1142,0,18-40,0,5,4,6.0,4600.0,17,0,Institutional Residents
1143,0,40-60,1,5,4,1.0,4220.0,17,1,Institutional Residents
1144,0,18-40,0,5,4,2.0,4640.0,17,0,Institutional Residents
1145,0,18-40,1,5,3,1.0,9620.0,16,1,Institutional Residents
1147,0,18-40,0,5,4,1.0,2752.0,17,1,Institutional Residents
1148,0,18-40,0,5,6,1.0,3430.0,17,0,Institutional Residents
1150,0,18-40,0,5,4,1.0,4030.0,17,0,Institutional Residents
1157,0,18-40,0,5,4,6.0,4600.0,17,0,Institutional Residents
1158,0,60-80,1,3,3,4.0,7810.0,16,1,Institutional Residents
1163,0,18-40,1,5,4,1.0,4600.0,17,0,Institutional Residents
1166,0,18-40,1,5,5,1.0,2633.0,17,0,Institutional Residents
1170,0,18-40,1,5,4,1.0,4710.0,17,0,Institutional Residents
1172,0,18-40,0,5,4,1.0,2350.0,17,0,Institutional Residents
1177,0,18-40,1,5,4,6.0,6260.0,17,1,Institutional Residents
1182,0,18-40,1,5,3,1.0,4622.0,17,0,Institutional Residents
1183,0,18-40,1,5,4,3.0,4622.0,17,0,Institutional Residents
1187,0,40-60,1,5,6,2.0,2040.0,17,1,Institutional Residents
1188,0,18-40,0,5,4,1.0,3960.0,17,0,Institutional Residents
1189,0,18-40,0,5,3,1.0,4760.0,17,0,Institutional Residents
1195,0,18-40,1,5,3,1.0,4230.0,17,0,Institutional Residents
1196,0,18-40,0,1,3,1.0,9620.0,17,1,Institutional Residents
1203,0,18-40,1,5,4,1.0,8740.0,17,1,Institutional Residents
1204,0,18-40,1,5,4,1.0,9130.0,17,1,Institutional Residents
1209,0,18-40,1,5,3,1.0,4130.0,16,1,Institutional Residents
1211,0,40-60,1,5,3,1.0,9600.0,16,1,Institutional Residents
1212,0,18-40,0,5,4,1.0,1970.0,17,1,Institutional Residents
1215,0,18-40,1,5,4,2.0,1050.0,17,1,Institutional Residents
1218,0,18-40,1,5,4,2.0,2350.0,17,1,Institutional Residents
1221,0,18-40,0,5,4,2.0,4940.0,17,1,Institutional Residents
1228,0,18-40,1,5,4,1.0,4621.0,17,0,Institutional Residents
1237,0,40-60,1,5,3,2.0,8990.0,17,0,Institutional Residents
1238,0,18-40,0,5,4,1.0,5400.0,17,1,Institutional Residents
1239,0,18-40,1,5,3,1.0,5522.0,17,1,Institutional Residents
1241,0,18-40,0,5,3,1.0,6520.0,16,1,Institutional Residents
1242,0,18-40,1,5,4,1.0,4720.0,17,0,Institutional Residents
1246,0,18-40,0,5,3,1.0,8740.0,17,0,Institutional Residents
1249,0,18-40,0,5,3,1.0,9130.0,17,0,Institutional Residents
1265,0,18-40,0,5,4,4.0,4435.0,17,1,Institutional Residents
1275,0,18-40,1,5,4,1.0,5400.0,17,0,Institutional Residents
1278,0,18-40,0,5,4,1.0,4720.0,17,0,Institutional Residents
1286,0,60-80,0,3,6,1.0,4020.0,16,1,Institutional Residents
1288,0,18-40,1,5,4,1.0,9600.0,16,1,Institutional Residents
1298,0,40-60,1,3,4,1.0,6530.0,16,1,Institutional Residents
1303,0,18-40,1,3,3,1.0,4110.0,16,0,Institutional Residents
1305,0,40-60,1,3,4,1.0,7700.0,16,1,Institutional Residents
1306,0,18-40,0,5,4,1.0,4030.0,17,0,Institutional Residents
1307,0,40-60,1,5,3,1.0,4055.0,16,1,Institutional Residents
1310,0,18-40,1,5,4,1.0,9645.0,17,1,Institutional Residents
1312,0,18-40,1,5,4,1.0,4710.0,17,0,Institutional Residents
1313,0,18-40,1,5,3,1.0,2721.0,17,0,Institutional Residents
1317,0,40-60,1,3,2,1.0,3930.0,17,1,Institutional Residents
1321,0,18-40,1,5,4,1.0,4760.0,17,1,Institutional Residents
1329,0,18-40,1,5,4,1.0,4110.0,17,0,Institutional Residents
1337,0,40-60,1,5,6,2.0,2040.0,17,1,Institutional Residents
1343,0,18-40,0,5,3,5.0,8760.0,17,1,Institutional Residents
1344,0,18-40,1,5,3,1.0,4030.0,16,0,Institutional Residents
1345,0,18-40,1,5,5,1.0,4020.0,17,1,Institutional Residents
1346,0,40-60,1,5,4,1.0,4220.0,17,1,Institutional Residents
1350,0,18-40,1,5,3,6.0,700.0,17,1,Institutional Residents
1351,0,18-40,1,5,6,1.0,4435.0,17,0,Institutional Residents
1353,0,18-40,1,1,3,1.0,7340.0,17,1,Institutional Residents
1358,0,18-40,0,1,4,1.0,5860.0,17,0,Institutional Residents
1359,0,18-40,1,3,4,1.0,4760.0,16,1,Institutional Residents
1370,0,18-40,1,5,4,1.0,5400.0,17,0,Institutional Residents
1371,0,18-40,1,5,4,1.0,4600.0,17,0,Institutional Residents
1377,0,18-40,1,5,4,2.0,230.0,17,0,Institutional Residents
1378,0,18-40,0,3,3,1.0,7810.0,16,1,Institutional Residents
1383,0,18-40,1,5,4,2.0,2350.0,17,1,Institutional Residents
1386,0,18-40,1,5,7,2.0,2040.0,17,1,Institutional Residents
1390,0,60-80,1,5,2,2.0,8990.0,17,1,Institutional Residents
1391,0,18-40,1,5,4,2.0,3930.0,17,0,Institutional Residents
1392,0,18-40,1,5,4,1.0,9130.0,17,1,Institutional Residents
1397,0,18-40,1,5,4,1.0,7840.0,17,0,Institutional Residents
1399,0,18-40,1,5,4,1.0,5860.0,17,0,Institutional Residents
1403,0,18-40,0,5,4,3.0,4622.0,17,0,Institutional Residents
1411,0,18-40,1,5,3,1.0,4210.0,16,1,Institutional Residents
1418,0,18-40,1,5,3,1.0,4230.0,17,0,Institutional Residents
1423,0,40-60,1,5,3,3.0,2545.0,16,1,Institutional Residents
1428,0,18-40,0,5,3,1.0,3421.0,17,0,Institutional Residents
1430,0,18-40,1,5,4,2.0,2050.0,17,1,Institutional Residents
1431,0,18-40,1,5,3,5.0,3300.0,17,1,Institutional Residents
1432,0,18-40,1,5,3,1.0,4251.0,16,0,Institutional Residents
1437,0,18-40,0,5,4,2.0,5860.0,17,1,Institutional Residents
1442,0,18-40,1,5,5,1.0,9645.0,17,0,Institutional Residents
1443,0,18-40,1,5,3,1.0,4140.0,16,1,Institutional Residents
1447,0,18-40,1,5,4,1.0,5400.0,17,0,Institutional Residents
1448,0,18-40,0,5,3,1.0,6410.0,16,1,Institutional Residents
1453,0,18-40,0,5,4,1.0,4622.0,17,0,Institutional Residents
1456,0,18-40,1,5,4,1.0,5740.0,17,0,Institutional Residents
1464,0,18-40,1,5,5,1.0,5610.0,17,0,Institutional Residents
