,PINCP,AGEP,RAC1P,MAR,SCHL,COW,OCCP,RELP,SEX,RELP_category
223,0,18-40,1,5,4,1.0,5610.0,17,1,Institutional Residents
226,0,18-40,1,5,4,1.0,5740.0,17,0,Institutional Residents
231,0,60-80,1,1,3,6.0,6260.0,17,1,Institutional Residents
233,0,18-40,1,1,4,1.0,3603.0,17,0,Institutional Residents
234,0,60-80,1,5,4,4.0,7750.0,17,1,Institutional Residents
236,0,18-40,1,5,4,1.0,5240.0,17,1,Institutional Residents
237,1,18-40,1,3,6,1.0,650.0,17,1,Institutional Residents
239,0,18-40,1,5,3,5.0,3740.0,17,1,Institutional Residents
240,0,18-40,0,4,3,1.0,6130.0,16,0,Institutional Residents
246,0,18-40,1,5,3,1.0,7340.0,17,0,Institutional Residents
247,0,40-60,1,4,4,1.0,4230.0,16,1,Institutional Residents
251,0,18-40,1,5,5,1.0,4720.0,17,1,Institutional Residents
252,1,18-40,1,1,6,2.0,2545.0,17,0,Institutional Residents
256,1,18-40,0,5,3,4.0,8140.0,17,1,Institutional Residents
258,0,60-80,1,5,3,4.0,7750.0,17,1,Institutional Residents
259,0,18-40,1,5,4,1.0,9130.0,17,0,Institutional Residents
260,0,18-40,1,1,4,1.0,2300.0,17,0,Institutional Residents
263,0,40-60,1,3,3,1.0,6260.0,16,0,Institutional Residents
265,0,18-40,1,5,4,1.0,9620.0,17,1,Institutional Residents
275,0,18-40,1,5,3,1.0,8710.0,17,1,Institutional Residents
276,0,18-40,1,5,4,2.0,2205.0,17,0,Institutional Residents
278,0,40-60,0,5,3,1.0,4230.0,17,0,Institutional Residents
280,0,40-60,1,1,7,1.0,440.0,16,1,Institutional Residents
282,0,18-40,1,3,5,1.0,5240.0,17,0,Institutional Residents
283,0,18-40,1,5,4,2.0,4220.0,17,1,Institutional Residents
286,0,18-40,1,5,4,1.0,5300.0,17,0,Institutional Residents
287,0,18-40,1,5,4,1.0,4810.0,17,1,Institutional Residents
288,0,18-40,1,5,5,1.0,4720.0,17,1,Institutional Residents
289,0,18-40,1,5,4,1.0,4760.0,16,1,Institutional Residents
291,0,18-40,1,1,4,1.0,2205.0,17,0,Institutional Residents
297,0,18-40,1,5,4,1.0,4055.0,17,0,Institutional Residents
298,0,18-40,0,5,4,1.0,2600.0,17,1,Institutional Residents
303,0,40-60,1,1,7,1.0,440.0,16,1,Institutional Residents
304,0,40-60,1,3,3,3.0,5240.0,17,1,Institutional Residents
305,0,40-60,1,5,3,2.0,8740.0,16,1,Institutional Residents
306,0,18-40,1,5,6,1.0,2001.0,17,0,Institutional Residents
314,0,18-40,1,5,4,1.0,4920.0,17,1,Institutional Residents
316,0,18-40,1,5,4,1.0,1970.0,17,1,Institutional Residents
319,0,40-60,1,5,3,2.0,8740.0,16,1,Institutional Residents
322,0,40-60,1,4,3,1.0,4230.0,16,0,Institutional Residents
323,0,18-40,1,5,5,1.0,750.0,17,1,Institutional Residents
324,0,18-40,1,5,4,1.0,4110.0,17,1,Institutional Residents
326,0,18-40,1,5,4,1.0,2170.0,17,1,Institutional Residents
328,0,18-40,0,5,4,1.0,4110.0,17,0,Institutional Residents
331,1,60-80,1,5,6,5.0,3050.0,17,1,Institutional Residents
336,0,18-40,1,5,4,1.0,440.0,17,1,Institutional Residents
339,0,18-40,1,5,4,1.0,4760.0,17,0,Institutional Residents
340,0,18-40,1,5,4,2.0,5320.0,17,0,Institutional Residents
342,0,18-40,1,5,6,1.0,3648.0,17,0,Institutional Residents
343,0,18-40,1,5,4,1.0,6800.0,17,1,Institutional Residents
345,0,18-40,1,5,4,1.0,2545.0,17,1,Institutional Residents
346,0,18-40,1,5,4,1.0,5240.0,17,1,Institutional Residents
349,0,18-40,1,5,4,1.0,4110.0,17,1,Institutional Residents
351,0,18-40,1,5,5,1.0,4720.0,17,1,Institutional Residents
353,1,18-40,1,5,4,1.0,1935.0,17,1,Institutional Residents
355,0,18-40,1,5,4,1.0,3960.0,17,0,Institutional Residents
356,0,60-80,1,5,3,4.0,7750.0,17,1,Institutional Residents
361,0,40-60,1,3,6,1.0,4840.0,16,1,Institutional Residents
363,0,18-40,1,5,4,1.0,440.0,17,1,Institutional Residents
367,0,18-40,0,5,4,1.0,4110.0,17,0,Institutional Residents
369,0,18-40,1,5,5,1.0,8740.0,17,1,Institutional Residents
371,0,40-60,1,3,6,1.0,4840.0,16,1,Institutional Residents
373,0,18-40,1,5,4,1.0,4700.0,17,1,Institutional Residents
376,0,18-40,1,5,3,1.0,8710.0,17,1,Institutional Residents
380,0,18-40,1,5,4,1.0,5400.0,17,0,Institutional Residents
381,0,18-40,1,5,4,1.0,2002.0,17,0,Institutional Residents
383,0,40-60,1,3,3,1.0,6260.0,16,0,Institutional Residents
385,0,18-40,1,5,5,1.0,4110.0,17,0,Institutional Residents
386,0,18-40,1,5,4,1.0,5400.0,17,0,Institutional Residents
388,0,18-40,1,5,4,1.0,6800.0,17,1,Institutional Residents
391,0,18-40,1,5,4,1.0,440.0,17,1,Institutional Residents
393,0,18-40,0,5,4,1.0,4020.0,17,0,Institutional Residents
395,0,18-40,1,5,6,4.0,2545.0,17,1,Institutional Residents
396,0,18-40,1,5,4,2.0,2545.0,17,0,Institutional Residents
397,0,40-60,1,5,2,1.0,8710.0,17,0,Institutional Residents
400,0,18-40,1,5,5,1.0,8740.0,17,1,Institutional Residents
401,0,18-40,1,5,4,1.0,7315.0,17,1,Institutional Residents
405,0,18-40,1,5,4,1.0,2545.0,17,1,Institutional Residents
406,0,18-40,1,5,4,1.0,8800.0,17,0,Institutional Residents
409,0,18-40,1,5,4,1.0,3421.0,17,0,Institutional Residents
410,0,18-40,1,5,4,1.0,2440.0,17,0,Institutional Residents
413,0,60-80,1,5,0,1.0,8710.0,17,0,Institutional Residents
419,0,18-40,1,5,4,4.0,4600.0,17,0,Institutional Residents
420,0,40-60,1,3,6,1.0,4840.0,16,1,Institutional Residents
421,0,18-40,1,5,4,4.0,5120.0,17,0,Institutional Residents
425,0,18-40,1,5,4,2.0,4220.0,17,1,Institutional Residents
426,0,18-40,1,3,5,1.0,5240.0,17,0,Institutional Residents
428,0,18-40,1,5,4,1.0,2545.0,17,1,Institutional Residents
431,0,18-40,1,5,3,1.0,8800.0,16,0,Institutional Residents
432,0,18-40,0,5,4,1.0,5110.0,17,1,Institutional Residents
433,0,18-40,1,5,1,1.0,4020.0,16,1,Institutional Residents
437,0,18-40,0,5,4,5.0,9830.0,17,1,Institutional Residents
438,0,18-40,1,5,4,1.0,5240.0,17,1,Institutional Residents
439,0,18-40,1,5,4,4.0,2722.0,17,1,Institutional Residents
440,0,18-40,0,5,6,1.0,2350.0,17,0,Institutional Residents
444,0,18-40,1,5,4,1.0,440.0,17,1,Institutional Residents
447,0,18-40,1,5,1,1.0,8710.0,17,1,Institutional Residents
448,0,18-40,1,5,4,1.0,5240.0,17,0,Institutional Residents
450,1,40-60,1,3,6,1.0,7200.0,16,1,Institutional Residents
451,0,18-40,1,5,4,1.0,5240.0,17,1,Institutional Residents
453,0,18-40,1,5,4,1.0,5740.0,17,0,Institutional Residents
454,0,18-40,0,1,4,2.0,2360.0,17,1,Institutional Residents
456,0,18-40,1,5,4,1.0,5240.0,17,0,Institutional Residents
457,0,18-40,1,5,4,1.0,2545.0,17,0,Institutional Residents
458,0,18-40,1,5,4,1.0,5240.0,17,0,Institutional Residents
459,0,18-40,1,5,4,1.0,9620.0,17,1,Institutional Residents
460,0,18-40,1,5,3,1.0,9130.0,17,0,Institutional Residents
463,0,40-60,1,5,3,1.0,6230.0,16,1,Institutional Residents
464,0,18-40,1,5,4,1.0,4040.0,17,1,Institutional Residents
466,0,18-40,1,5,3,1.0,4720.0,16,0,Institutional Residents
467,0,18-40,0,1,4,1.0,410.0,17,0,Institutional Residents
468,0,40-60,1,1,5,1.0,600.0,16,0,Institutional Residents
470,0,18-40,1,5,4,1.0,3960.0,17,0,Institutional Residents
475,0,18-40,1,5,6,1.0,2001.0,17,0,Institutional Residents
483,0,40-60,1,5,3,1.0,4140.0,17,1,Institutional Residents
485,0,18-40,1,5,4,1.0,4720.0,17,0,Institutional Residents
486,0,18-40,1,5,4,1.0,4655.0,17,0,Institutional Residents
488,0,18-40,1,1,0,4.0,3323.0,17,1,Institutional Residents
489,0,18-40,1,5,4,1.0,5610.0,17,1,Institutional Residents
490,0,40-60,0,4,4,1.0,9005.0,16,0,Institutional Residents
491,0,18-40,1,5,4,1.0,9130.0,17,1,Institutional Residents
492,0,18-40,1,5,4,1.0,4251.0,17,1,Institutional Residents
494,0,40-60,1,1,5,1.0,600.0,16,0,Institutional Residents
495,0,18-40,1,5,4,1.0,4720.0,17,0,Institutional Residents
497,0,18-40,1,5,4,2.0,4622.0,17,1,Institutional Residents
498,0,18-40,1,5,4,2.0,2634.0,17,1,Institutional Residents
499,0,18-40,1,5,4,1.0,2170.0,17,1,Institutional Residents
503,0,18-40,1,5,5,1.0,4720.0,17,1,Institutional Residents
504,0,18-40,0,5,4,1.0,4720.0,17,0,Institutional Residents
505,0,18-40,0,5,4,1.0,2722.0,17,0,Institutional Residents
506,0,18-40,1,5,3,1.0,4720.0,17,1,Institutional Residents
510,0,18-40,1,5,4,1.0,7750.0,17,1,Institutional Residents
512,1,18-40,1,1,6,5.0,2861.0,17,1,Institutional Residents
515,0,18-40,1,5,1,1.0,8710.0,17,1,Institutional Residents
516,0,18-40,1,5,4,1.0,3930.0,17,1,Institutional Residents
518,0,18-40,1,5,4,1.0,2145.0,17,1,Institutional Residents
522,0,40-60,1,3,6,1.0,4840.0,16,1,Institutional Residents
523,0,18-40,1,5,4,1.0,9645.0,17,1,Institutional Residents
525,0,18-40,0,5,6,4.0,2205.0,17,1,Institutional Residents
528,0,18-40,1,5,4,1.0,1050.0,17,0,Institutional Residents
529,0,18-40,1,1,6,1.0,5240.0,17,0,Institutional Residents
531,0,18-40,1,3,4,1.0,9130.0,16,1,Institutional Residents
535,0,18-40,1,3,6,1.0,3421.0,17,1,Institutional Residents
541,0,18-40,1,5,4,1.0,5860.0,17,0,Institutional Residents
542,0,18-40,1,5,4,2.0,5300.0,17,1,Institutional Residents
544,0,18-40,1,5,4,1.0,4700.0,17,0,Institutional Residents
548,0,18-40,1,5,4,1.0,2722.0,17,0,Institutional Residents
549,0,40-60,1,5,3,1.0,4140.0,17,1,Institutional Residents
550,0,18-40,1,5,4,2.0,4622.0,17,1,Institutional Residents
552,0,18-40,1,3,4,1.0,9130.0,16,1,Institutional Residents
553,0,18-40,1,5,3,4.0,3960.0,17,1,Institutional Residents
554,0,18-40,1,5,4,2.0,2025.0,17,1,Institutional Residents
555,1,40-60,1,4,3,1.0,7360.0,16,1,Institutional Residents
558,0,18-40,1,5,4,1.0,1050.0,17,0,Institutional Residents
559,0,18-40,1,5,1,1.0,4020.0,16,1,Institutional Residents
560,0,18-40,1,5,4,2.0,2205.0,17,1,Institutional Residents
561,0,18-40,1,5,4,1.0,4110.0,17,1,Institutional Residents
562,0,18-40,1,5,4,1.0,5610.0,17,1,Institutional Residents
564,0,18-40,1,5,4,1.0,5400.0,17,0,Institutional Residents
565,0,40-60,1,5,0,1.0,8710.0,17,0,Institutional Residents
566,0,18-40,1,3,3,1.0,5610.0,16,1,Institutional Residents
569,0,18-40,1,5,4,1.0,4435.0,17,0,Institutional Residents
570,0,18-40,1,5,5,1.0,5240.0,17,0,Institutional Residents
575,0,18-40,0,1,4,2.0,2360.0,17,1,Institutional Residents
576,0,18-40,1,5,6,1.0,2001.0,17,0,Institutional Residents
578,0,18-40,1,5,5,1.0,750.0,17,1,Institutional Residents
582,0,40-60,1,5,0,1.0,8710.0,17,0,Institutional Residents
583,0,18-40,1,5,4,1.0,9620.0,17,1,Institutional Residents
585,0,18-40,1,5,4,1.0,7200.0,17,1,Institutional Residents
587,0,18-40,1,5,4,1.0,2722.0,17,1,Institutional Residents
589,0,18-40,1,5,4,1.0,4720.0,16,1,Institutional Residents
590,0,18-40,1,1,6,4.0,440.0,17,1,Institutional Residents
591,0,18-40,1,5,4,1.0,2025.0,17,0,Institutional Residents
592,0,18-40,1,5,4,1.0,5240.0,17,0,Institutional Residents
594,0,18-40,1,5,4,1.0,4110.0,17,1,Institutional Residents
598,0,18-40,1,5,6,4.0,2545.0,17,1,Institutional Residents
599,0,18-40,1,5,2,1.0,6200.0,16,1,Institutional Residents
600,0,18-40,1,5,4,1.0,3500.0,17,0,Institutional Residents
601,0,18-40,1,5,4,2.0,2545.0,17,0,Institutional Residents
603,0,18-40,0,5,3,1.0,4850.0,17,0,Institutional Residents
604,0,18-40,1,5,4,1.0,4720.0,17,1,Institutional Residents
605,0,18-40,1,5,4,1.0,9620.0,17,1,Institutional Residents
606,0,18-40,1,5,4,2.0,2205.0,17,0,Institutional Residents
610,0,18-40,1,5,4,1.0,3655.0,17,0,Institutional Residents
612,0,18-40,1,5,3,1.0,3640.0,17,0,Institutional Residents
613,0,18-40,0,5,4,1.0,2545.0,17,1,Institutional Residents
615,0,18-40,1,5,4,1.0,2545.0,17,0,Institutional Residents
619,0,18-40,1,1,4,1.0,3603.0,17,0,Institutional Residents
623,0,18-40,1,5,4,2.0,630.0,17,1,Institutional Residents
624,0,40-60,0,3,4,1.0,6050.0,16,1,Institutional Residents
625,0,60-80,1,5,0,1.0,8710.0,17,0,Institutional Residents
626,0,18-40,0,1,4,1.0,410.0,17,0,Institutional Residents
627,0,18-40,1,5,3,1.0,5240.0,17,0,Institutional Residents
628,0,18-40,0,1,4,2.0,2360.0,17,1,Institutional Residents
629,0,18-40,1,5,4,1.0,4720.0,17,0,Institutional Residents
630,0,18-40,0,5,4,1.0,4055.0,17,1,Institutional Residents
631,0,18-40,1,5,4,1.0,9610.0,17,1,Institutional Residents
633,0,18-40,1,5,4,1.0,4810.0,17,1,Institutional Residents
634,0,18-40,1,5,4,1.0,3603.0,17,0,Institutional Residents
635,0,18-40,1,5,4,1.0,5400.0,17,0,Institutional Residents
636,0,18-40,0,5,3,1.0,6442.0,16,1,Institutional Residents
637,0,18-40,1,5,4,1.0,4055.0,17,0,Institutional Residents
639,0,18-40,1,1,6,1.0,5240.0,17,0,Institutional Residents
640,0,18-40,1,5,4,2.0,630.0,17,1,Institutional Residents
641,0,18-40,1,5,4,1.0,4810.0,17,1,Institutional Residents
642,0,18-40,1,5,3,1.0,9130.0,17,0,Institutional Residents
643,0,18-40,1,5,4,1.0,4720.0,17,0,Institutional Residents
644,0,18-40,1,5,4,1.0,4110.0,17,0,Institutional Residents
646,0,18-40,1,5,4,1.0,3960.0,17,0,Institutional Residents
647,0,18-40,1,5,4,1.0,4760.0,17,0,Institutional Residents
648,0,18-40,1,5,4,1.0,4230.0,17,0,Institutional Residents
649,0,18-40,1,5,4,1.0,1050.0,17,0,Institutional Residents
651,0,18-40,1,5,4,1.0,940.0,17,1,Institutional Residents
654,1,18-40,1,5,4,1.0,1935.0,17,1,Institutional Residents
655,0,18-40,1,5,4,1.0,5240.0,17,1,Institutional Residents
659,0,18-40,1,5,4,1.0,4720.0,17,0,Institutional Residents
661,0,18-40,1,5,4,1.0,9300.0,17,1,Institutional Residents
662,1,18-40,1,1,6,2.0,2545.0,17,0,Institutional Residents
663,0,18-40,1,5,4,1.0,6260.0,16,1,Institutional Residents
664,0,18-40,1,5,4,1.0,440.0,17,1,Institutional Residents
666,0,18-40,1,5,4,1.0,1970.0,17,1,Institutional Residents
667,0,18-40,0,5,6,1.0,2350.0,17,0,Institutional Residents
670,0,18-40,0,5,4,1.0,4020.0,17,0,Institutional Residents
671,0,18-40,0,5,4,1.0,2545.0,17,1,Institutional Residents
672,0,18-40,1,5,4,1.0,4720.0,17,0,Institutional Residents
678,0,18-40,1,5,4,1.0,4655.0,17,0,Institutional Residents
679,0,18-40,1,5,4,3.0,3960.0,17,0,Institutional Residents
686,0,40-60,1,2,4,1.0,8990.0,16,0,Institutional Residents
687,0,18-40,1,5,4,1.0,8800.0,17,0,Institutional Residents
688,0,18-40,1,5,5,1.0,4110.0,17,0,Institutional Residents
690,0,18-40,1,5,4,1.0,3500.0,17,0,Institutional Residents
692,0,18-40,1,5,4,1.0,5240.0,17,0,Institutional Residents
693,0,18-40,1,5,4,1.0,5240.0,17,0,Institutional Residents
701,0,18-40,0,5,4,1.0,2600.0,17,1,Institutional Residents
703,0,18-40,1,5,4,2.0,1031.0,17,1,Institutional Residents
710,0,18-40,1,5,4,1.0,4700.0,17,1,Institutional Residents
714,0,18-40,0,5,5,1.0,4140.0,17,1,Institutional Residents
715,0,18-40,1,5,3,1.0,5240.0,17,0,Institutional Residents
717,0,18-40,1,5,4,1.0,6260.0,17,1,Institutional Residents
720,0,18-40,1,5,4,1.0,5400.0,17,0,Institutional Residents
725,0,18-40,1,5,4,1.0,5522.0,17,1,Institutional Residents
726,0,18-40,1,5,4,1.0,4655.0,17,0,Institutional Residents
730,0,18-40,1,5,4,1.0,3603.0,17,0,Institutional Residents
731,0,18-40,1,5,5,1.0,750.0,17,1,Institutional Residents
732,0,18-40,0,5,4,1.0,4850.0,16,1,Institutional Residents
734,0,40-60,1,3,3,3.0,5240.0,17,1,Institutional Residents
737,0,18-40,1,5,5,1.0,5240.0,17,0,Institutional Residents
740,0,18-40,1,5,5,1.0,750.0,17,1,Institutional Residents
741,0,18-40,1,5,4,1.0,4710.0,17,1,Institutional Residents
743,0,18-40,1,3,3,1.0,5610.0,16,1,Institutional Residents
749,0,18-40,1,3,3,1.0,4230.0,16,0,Institutional Residents
753,0,18-40,1,5,4,1.0,2350.0,17,0,Institutional Residents
755,1,40-60,1,3,4,1.0,8140.0,16,1,Institutional Residents
756,0,18-40,1,5,4,4.0,2722.0,17,1,Institutional Residents
758,0,18-40,1,1,7,4.0,3230.0,17,0,Institutional Residents
761,0,18-40,1,5,3,1.0,7340.0,17,0,Institutional Residents
764,0,18-40,1,5,4,1.0,6230.0,17,1,Institutional Residents
766,0,18-40,1,5,4,1.0,4700.0,17,0,Institutional Residents
769,0,18-40,1,5,5,1.0,4020.0,17,1,Institutional Residents
772,0,18-40,1,5,4,1.0,4040.0,17,1,Institutional Residents
774,0,18-40,0,5,6,4.0,2360.0,17,1,Institutional Residents
775,0,18-40,1,5,4,2.0,2545.0,17,0,Institutional Residents
777,0,18-40,1,3,4,1.0,6200.0,16,1,Institutional Residents
779,0,18-40,1,5,4,1.0,3500.0,17,0,Institutional Residents
782,0,18-40,1,5,4,1.0,4055.0,17,0,Institutional Residents
786,0,18-40,1,5,4,1.0,5240.0,17,0,Institutional Residents
787,0,18-40,1,5,5,1.0,750.0,17,1,Institutional Residents
788,0,18-40,1,5,4,1.0,2850.0,17,1,Institutional Residents
792,0,18-40,1,5,3,4.0,3960.0,17,1,Institutional Residents
793,0,18-40,0,1,4,2.0,2360.0,17,1,Institutional Residents
795,0,18-40,1,5,3,1.0,5240.0,17,0,Institutional Residents
796,0,18-40,1,5,4,1.0,3421.0,17,0,Institutional Residents
797,0,18-40,1,5,4,2.0,5300.0,17,1,Institutional Residents
798,0,18-40,1,5,4,2.0,5300.0,17,1,Institutional Residents
799,0,18-40,1,5,4,1.0,2002.0,17,0,Institutional Residents
800,0,18-40,1,5,4,1.0,5240.0,17,0,Institutional Residents
801,0,18-40,1,5,4,1.0,3603.0,17,0,Institutional Residents
803,0,18-40,1,5,6,4.0,2545.0,17,1,Institutional Residents
805,0,18-40,1,5,4,1.0,51.0,17,1,Institutional Residents
807,0,18-40,0,1,4,2.0,2360.0,17,1,Institutional Residents
808,0,18-40,1,5,4,1.0,2205.0,17,0,Institutional Residents
